State,Area,Price
FC,Wuse,3000
FC,Maitama,3500
FC,Garki,2800
FC,Asokoro,3500
FC,Jabi,3000
FC,Utako,2800
FC,Gwarinpa,2500
FC,Kubwa,2300
FC,Lugbe,2200
FC,Apo,2600
FC,Jahi,3000
FC,Kado,3000
FC,Katampe,3200
FC,Life Camp,2500
,,
LA,Ikeja,3000
LA,Lekki,3500
LA,Victoria Island,4000
LA,Ikoyi,4200
LA,Ajah,3300
LA,Yaba,2800
LA,Surulere,2700
LA,Gbagada,2600
LA,Ogba,2600
LA,Agege,2400
LA,Alimosho,2300
LA,Ikorodu,2200
LA,Apapa,3500
LA,Festac,2600
LA,Ojo,2400
,,
KN,Kano Municipal,2500
KN,Fagge,2400
KN,Dala,2300
KN,Nassarawa,2600
KN,Tarauni,2700
KN,Ungogo,2200
KN,Kumbotso,2100
KN,Gwale,2300
KN,Sabon Gari,2800
KN,Hotoro,2600
,,
KO,Lokoja,2500
KO,Anyigba,2300
KO,Okene,2400
KO,Kabba,2400
KO,Idah,2600
KO,Dekina,2600
KO,Ankpa,2500
KO,Ajaokuta,2500
KO,Adavi,2400
KO,Koton Karfe,2600
